Response times in ms;response time experiment
140;1.0
150;155.0
160;25.0
170;4.0
260;1.0
440;1.0
460;4.0
470;4.0
480;3.0
490;5.0
520;1.0
540;3.0
550;1.0
560;6.0
570;7.0
580;3.0
590;1.0
610;1.0
620;2.0
670;1.0
690;1.0
720;1.0
760;1.0
860;1.0
870;1.0
990;1.0
1010;1.0
1400;1.0
1920;1.0
2120;1.0
2160;1.0
2320;1.0
2380;1.0
2440;1.0
2460;1.0
2480;1.0
2500;1.0
2510;1.0
2530;2.0
2540;2.0
2550;2.0
2560;1.0
2580;1.0
2600;1.0
2610;2.0
2660;1.0
2680;1.0
2710;1.0
2730;1.0
2740;1.0
2770;1.0
2780;1.0
2790;1.0
2830;1.0
2840;1.0
2860;1.0
2930;1.0
3000;1.0
3070;1.0
3100;3.0
3110;3.0
3120;3.0
3130;9.0
3140;14.0
3150;6.0
3160;17.0
3170;46.0
3180;48.0
3190;73.0
3200;68.0
3210;98.0
3220;133.0
3230;163.0
3240;145.0
3250;185.0
3260;207.0
3270;227.0
3280;213.0
3290;225.0
3300;205.0
3310;191.0
3320;165.0
3330;158.0
3340;132.0
3350;96.0
3360;101.0
3370;72.0
3380;71.0
3390;47.0
3400;40.0
3410;30.0
3420;19.0
3430;24.0
3440;14.0
3450;41.0
3460;37.0
3470;36.0
3480;19.0
3490;11.0
3500;9.0
3510;11.0
3520;7.0
3530;7.0
3540;7.0
3550;4.0
3560;6.0
3570;5.0
3580;6.0
3590;5.0
3600;5.0
3610;3.0
3620;2.0
3630;2.0
3640;8.0
3650;3.0
3660;5.0
3670;3.0
3680;6.0
3690;4.0
3700;1.0
3710;3.0
3730;2.0
3740;3.0
3750;2.0
3760;2.0
3770;3.0
3780;3.0
3790;2.0
3800;3.0
3810;2.0
3820;4.0
3830;4.0
3840;1.0
3850;4.0
3860;1.0
3880;1.0
3890;2.0
3900;2.0
3910;4.0
3920;3.0
3930;1.0
3950;1.0
3970;1.0
3980;2.0
3990;1.0
4000;1.0
4010;1.0
4030;1.0
4040;1.0
4060;1.0
4070;2.0
4080;1.0
4100;1.0
4110;1.0
4120;1.0
4130;1.0
4150;1.0
4170;1.0
4180;1.0
4190;1.0
4200;1.0
4230;1.0
4240;1.0
4250;2.0
4260;1.0
4270;2.0
4280;3.0
4290;2.0
4310;2.0
4340;1.0
4360;1.0
4370;1.0
4400;1.0
4450;1.0
4590;1.0
4620;2.0
4770;2.0
4820;1.0
4860;1.0
4910;1.0
4960;1.0
4970;1.0
5020;1.0
5040;1.0
5060;1.0
5070;1.0
5100;1.0
5110;1.0
5190;2.0
5220;2.0
5280;2.0
5290;1.0
5300;1.0
5330;1.0
5340;1.0
5350;2.0
5370;2.0
5400;2.0
5430;1.0
5440;2.0
5450;3.0
5460;4.0
5470;2.0
5510;2.0
5520;3.0
5530;1.0
5560;1.0
5570;1.0
5600;2.0
5630;2.0
5640;1.0
5660;1.0
5670;3.0
5680;3.0
5690;4.0
5700;6.0
5710;3.0
5720;1.0
5740;1.0
5750;2.0
5760;1.0
5770;1.0
5780;2.0
5790;3.0
5800;4.0
5810;4.0
5820;3.0
5830;4.0
5840;3.0
5850;6.0
5860;2.0
5870;3.0
5880;1.0
5890;3.0
5900;4.0
5910;6.0
5920;9.0
5930;5.0
5940;3.0
5950;7.0
5960;5.0
5970;6.0
5980;6.0
5990;6.0
6000;8.0
6010;8.0
6020;10.0
6030;13.0
6040;6.0
6050;4.0
6060;13.0
6070;15.0
6080;3.0
6090;8.0
6100;13.0
6110;6.0
6120;14.0
6130;16.0
6140;15.0
6150;21.0
6160;19.0
6170;23.0
6180;20.0
6190;23.0
6200;16.0
6210;25.0
6220;20.0
6230;19.0
6240;24.0
6250;24.0
6260;19.0
6270;19.0
6280;20.0
6290;21.0
6300;21.0
6310;22.0
6320;22.0
6330;13.0
6340;20.0
6350;8.0
6360;11.0
6370;15.0
6380;13.0
6390;6.0
6400;13.0
6410;13.0
6420;10.0
6430;6.0
6440;14.0
6450;7.0
6460;9.0
6470;5.0
6480;2.0
6490;5.0
6500;3.0
6510;4.0
6520;3.0
6530;5.0
6540;2.0
6560;2.0
6570;1.0
6590;1.0
6600;4.0
6620;1.0
6640;1.0
6650;1.0
6660;3.0
6710;2.0
6720;2.0
6760;3.0
6860;1.0
6870;1.0
6880;1.0
6900;1.0
6970;1.0
6990;1.0
7030;1.0
7040;1.0
7070;1.0
7230;1.0
7250;1.0
7280;1.0
7360;1.0
7540;1.0
7550;1.0
7560;1.0
7630;2.0
7750;1.0
8180;1.0
8190;1.0
8250;1.0
8300;1.0
8340;1.0
8360;1.0
8420;1.0
8470;1.0
8540;1.0
8560;1.0
8570;1.0
8670;2.0
8690;1.0
8720;1.0
8730;1.0
8750;1.0
8760;1.0
8770;2.0
8790;1.0
8890;2.0
8920;3.0
8930;2.0
8950;3.0
8960;1.0
8970;1.0
8980;1.0
8990;1.0
9010;1.0
9030;2.0
9040;1.0
9050;3.0
9090;1.0
9110;1.0
9120;2.0
9130;3.0
9140;1.0
9150;3.0
9160;4.0
9170;3.0
9180;5.0
9190;2.0
9200;3.0
9210;5.0
9230;1.0
9240;4.0
9250;3.0
9260;1.0
9270;1.0
9280;2.0
9290;3.0
9300;5.0
9310;2.0
9320;2.0
9330;6.0
9340;2.0
9350;3.0
9360;1.0
9370;3.0
9380;3.0
9390;1.0
9400;2.0
9410;2.0
9420;2.0
9430;6.0
9440;4.0
9450;2.0
9460;3.0
9470;6.0
9480;2.0
9490;1.0
9500;4.0
9510;2.0
9520;4.0
9540;3.0
9550;1.0
9580;2.0
9710;1.0
9750;1.0
10090;1.0
10110;1.0
10200;1.0
10210;1.0
10300;1.0
10370;1.0
10390;1.0
10450;1.0
10490;1.0
10570;1.0
10670;2.0
10690;1.0
10760;1.0
10780;1.0
11710;1.0
11930;1.0
11980;1.0
12150;1.0
12250;1.0
12340;1.0
12390;2.0
12400;1.0
12480;1.0
12520;2.0
12560;1.0
12580;1.0
12640;1.0
